Date,Note from the news,Weight
20/08/2020,GLI ATTACCHI DELL'OPPOSIZIONE Scuola e chiusura delle liste per le Regionali al centro del dibattito politico. Sul fronte opposizione duro il commento di Matteo Salvini sulla gestione della sicurezza nelle,0
21/08/2020,"IL MINISTRO SPERANZA SI APPELLA AI GIOVANI La curva dei contagi sale ancora: sono quasi mille i nuovi casi positivi. In Lombardia, Veneto e Lazio le regioni dove si registrano gli incrementi maggiori. Il ministro della Salute Speranza",-10
22/08/2020,"IL VIRUS NON ARRETRA La crescita dei contagi non si arresta, in un giorno superata quota mille. Il Lazio è la regione più colpita per numero di casi. Per la maggioranza si tratta in prevalenza di giovani, al rientro dalle",-10
22/08/2020,"SCUOLA, NUOVE REGOLE Il ritorno a scuola è ormai vicino e domina la scena politica: le lezioni riprenderanno il 14 settembre. Distanziamento, mascherina e igienizzante in aula. Per reperire spazi aggiuntivi non si esclude il ricorso",10
23/08/2020,"CONTAGI IN CRESCITA Aumentano i contagi in Italia: oltre milleduecento in 24 ore. La Lombardia torna ad essere regione più colpita per maggior numero di positivi, seguita dai casi di Lazio e Veneto.",-10
25/08/2020,"LAZIO REGIONE PIÚ COLPITA È il Lazio la regione dove si registra il maggior aumento di contagi, legati soprattutto al rientro dalle vacanze in Sardegna. Focolai sparsi in tutta Italia, in Veneto quasi duecento i positivi in uno",-10
26/08/2020,"COLLOQUIO CONTE – PUTIN Colloquio telefonico tra il premier Conte e il presidente russo Putin: oltre alle relazioni bilaterali tra Russia e Italia, in primo piano l’emergenza Covid e i principali temi internazionali.",0
27/08/2020,"PROTOCOLLO ISS, OK DELLE REGIONI Dalle Regioni arriva l'ok al protocollo stilato dall'Istituto superiore di sanità e destinato agli istituti scolastici per la gestione dei casi con sintomi Covid-19. Resta aperta la questione trasporti. La ministra",0
28/08/2020,RECORD DI TAMPONI Continua a preoccupare l'andamento dell’epidemia in Italia: quasi 1500 i casi registrati a fronte di un numero record di tamponi effettuati. Inchiesta in Costa Smeralda per il boom di casi positivi. A,-10
30/08/2020,"CONTE, NO AD UN ALTRO LOCKDOWN Il premier Conte esclude un altro lockdown per l’autunno. Il presidente del Consiglio è ottimista sul contenimento dei contagi e invita alla prudenza, ma senza limitare le attività economiche e la",10
30/08/2020,"IL MESSAGGIO DI MATTARELLA SULLA PANDEMIA Il presidente della Repubblica Sergio Mattarella, in occasione della prima Soft Power Conference, sottolinea l’importanza della collaborazione tra le Nazioni da intendere come chiave per",0
02/09/2020,VOTO DI FIDUCIA SUL DECRETO COVID Via libera alla Camera al voto di fiducia sul Decreto Covid. Non hanno partecipato al voto ventotto parlamentari del Movimento 5stelle in polemica con la proroga dei vertici dei servizi segreti. Tra i 'no',0
02/09/2020,"SCUOLA, LA PREPARAZIONE PER IL RIENTRO Si lavora per il rientro in sicurezza, gli studenti dovranno indossare le mascherine chirurgiche e non di stoffa. Negli istituti ci sarà un referente Covid. Mentre si organizza la ripresa della didattica si fa",10
03/09/2020,"BERLUSCONI, POSITIVO AL COVID Il leader di Forza Italia positivo asintomatico al Covid. Silvio Berlusconi si è sottoposto ad un tampone dopo un soggiorno in Sardegna, è in isolamento ad Arcore, ma fa sapere che continuerà la sua",0
04/09/2020,ITALIA: CONTAGI IN SALITA In Italia la curva dei contagi è in salita e si abbassa l’età media dei ricoveri. Al consiglio informale dei ministri del G20 il ministro della Salute Speranza ha proposto i test rapidi da effettuare ai viaggiatori,-10
05/09/2020,MANIFESTAZIONE “NO MASK” A ROMA Circa duemila persone hanno partecipato a Roma alla manifestazione convocata da diversi movimenti di estrema destra contro le misure di prevenzione anticovid e per negare i numeri e la,0
05/09/2020,"FORUM AMBROSETTI, LA PAROLA A MATTARELLA Seconda giornata al Forum Ambrosetti. Per il presidente della Repubblica Mattarella Il Covid è stato un duro richiamo alla realtà e la pandemia uno spartiacque per l’Unione Europea che in pochi mesi",0
06/09/2020,"CONTE: NO A PULSIONI ANTISCIENTIFICHE All’indomani della manifestazione dei negazionisti Covid, il presidente del Consiglio Conte, a Trieste per la chiusura dell’Euroscience Open Forum, ammonisce sulla diffusione nell’opinione pubblica di",-10
07/09/2020,"PROROGATE LE MISURE DI CONTRASTO In vigore il nuovo Dpcm che proroga al 7 ottobre le misure di contrasto al Covid 19: mascherine, distanza, meno passeggeri sui bus. Restano in vigore le regole per i viaggiatori: tampone per chi",-10
07/09/2020,"SCUOLA, BOLZANO APRIPISTA La ripartenza della scuola in presenza: i primi a rientrare in classe i novantamila studenti dell’Alto Adige. Gel in aula, distanza, mascherine, orari differenziati. Anche per i docenti un protocollo anti",10
08/09/2020,"AZZOLINA: RISCHIO ZERO NON ESISTE Scuola, primi contagi Covid. Il rischio zero non esiste, afferma nel corso dell’informativa al Senato il ministro dell’Istruzione Azzolina ricordando come sarà fondamentale il senso di responsabilità e il",0
09/09/2020,"IL PREMIER ESCLUDE NUOVO LOCKDOWN Il premier Conte esclude un nuovo lockdown a livello nazionale ma ipotizza eventuali chiusure circoscritte a livello territoriale. Con i ministri Azzolina, Speranza e De Micheli, assicura che la",10
10/09/2020,"IN CRESCITA LA CURVA DEI CONTAGI 1600 contagi in un giorno, dieci vittime. Cresce il trend dei contagi in Italia e aumenta il numero dei ricoveri in terapia intensiva. La Lombardia regione con il maggiore incremento di casi, seguita dalla",-10
11/09/2020,"ISTAT, OCCUPAZIONE IN CALO Nel secondo trimestre dell’anno forte calo del numero degli occupati a causa dell’emergenza Covid: è il bilancio dell’indagine Istat sul mercato del lavoro. Rispetto ai tre mesi precedenti quasi",0
11/09/2020,"SARDEGNA, ORDINANZA ANTI COVID Il governatore della Sardegna Solinas firma la nuova ordinanza restrittiva anti Covid: dal 14 settembre tutti i passeggeri in ingresso nell’isola saranno invitati a presentare un certificato di negatività al virus.",-10
12/09/2020,"L’APPELLO DEL PAPA La pandemia dimostra che la salute dell'uomo è legata all'ambiente, salvaguardare la nostra casa comune riguarda tutti. È il grido d'allarme lanciato da Papa Francesco nel corso dell'udienza in",-10
14/09/2020,"LA RIPARTENZA DELLA SCUOLA A sei mesi dalla chiusura cinque milioni e mezzo di studenti rientrano in classe tra nuove regole e timori. Il presidente Mattarella, a Vo' Euganeo per la cerimonia di inaugurazione dell'anno scolastico,",10
14/09/2020,"BERLUSCONI DIMESSO DALL’OSPEDALE Silvio Berlusconi dimesso dal San Raffaele di Milano dov'era stato ricoverato in seguito al Covid: ""La prova più pericolosa della mia vita"" il commento del leader di Forza Italia che rivolge un pensiero ai",0
17/09/2020,"MISURE ANTI COVID, INTERVIENE IL TAR Il Tar sospende l'ordinanza della Sardegna che imponeva test Covid obbligatori per chi arriva sull’isola. In Piemonte resta in vigore l’ordinanza che impone la verifica delle temperature degli",0
17/09/2020,MATTARELLA INCONTRA STEINMEIER Il presidente della Repubblica Mattarella incontra a Milano il suo omologo tedesco Steinmeier. Al centro del colloquio le conseguenze della crisi legata al Coronavirus e i rapporti di sostegno tra i due,0
19/09/2020,"PICCO DI CASI IN EUROPA L’Europa resta sorvegliata speciale: allarme per il boom di nuovi casi in Francia e Gran Bretagna. In Italia preoccupa il numero delle vittime, 24 in un giorno, mentre resta stazionario il numero di",-10
19/09/2020,"STADI SERIE A, SÍ A MILLE INGRESSI Gli stadi della serie A riapriranno nel giorno dell’avvio del campionato, con il limite di mille spettatori sugli spalti e nel rispetto delle misure anti Covid. È quanto stabilito in seguito al vertice tra Governo e",10
20/09/2020,"LA CURVA DEI CONTAGI Resta stabile la curva dei contagi in Italia. L’Oms rivolge parole di elogio all’Italia, esempio nella gestione e contrasto alla pandemia.",0
23/09/2020,LA CURVA DEI CONTAGI Trend contagi in Italia: in crescita i casi positivi con la Campania regione con il numero più elevato. Il ministro Speranza: tamponi molecolari modello fondamentale per la ricerca del virus.,-10
24/09/2020,"COVID, MISURE RAFFORZATE Si rafforzano le misure anti Covid in molte città italiane; a Genova e in Campania mascherina obbligatoria 24 ore su 24 anche all’aperto indipendentemente dalla distanza interpersonale.",-10
25/09/2020,"L’INTERVENTO DI CONTE ALL’ASSEMBLEA ONU Il presidente del Consiglio Conte, nel suo intervento video all’assemblea generale dell’Onu, ricorda la battaglia dell’Italia nel corso della pandemia e il costante impegno del Paese per il vaccino anti",-10
26/09/2020,"IL MONITO DI CONTE Il presidente del Consiglio Conte intervenendo sulla ripresa dopo la pandemia, definisce il Recovery fund occasione storica e lancia un richiamo di unità alle forze politiche: no alle divisioni.",-10
27/09/2020,"LA CORSA DEL VIRUS Coronavirus, mentre in Cina la vita è tornata alla normalità, nel mondo è record di contagi: superata la soglia del milione di vittime. Stati Uniti, Brasile e India i Paesi più colpiti. Situazione critica in Francia.",-10
28/09/2020,MONITORAGGIO NELLE SCUOLE Il ministero dell’Istruzione avvia il monitoraggio nelle scuole. I presidi chiamati a comunicare settimanalmente i dati del contagio; nelle università riprende la didattica in presenza. Perplessità sul,10
29/09/2020,"SCUOLA, LA STRATEGIA ANTI COVID Il comitato tecnico scientifico concede il via libera ai tamponi rapidi nelle scuole per la diagnosi di Covid. In una circolare il ministero ricorda come il tampone resti lo strumento più affidabile per",10
30/09/2020,"IL COVID MINACCIA LA SERIE A Covid e calcio, confermata la positività di numerosi tesserati del Genoa. Per il ministro dello Sport Spadafora non ci sono le condizioni per fermare il campionato.",0
30/09/2020,"CONTE INCONTRA IL SEGRETARIO USA POMPEO Il premier Conte incontra il segretario di Stato Usa Mike Pompeo. Sul tavolo dell’incontro, oltre alla politica estera, la collaborazione economica bilaterale e la risposta all’emergenza Covid.",0
01/10/2020,"BOOM DI CONTAGI Boom di casi di positività, quasi tremila in 24 ore, mai così numerosi da aprile. Nessuna regione a zero contagi: impennata in Veneto, seguita dalle regioni Campania, Lombardia e Lazio.",-10
01/10/2020,VERSO LA PROROGA DELLO STATO DI EMERGENZA La pandemia non è vinta. Il premier Conte annuncia che il Governo chiederà al Parlamento di prorogare lo stato di emergenza fino al 31 gennaio 2021. Il presidente del Consiglio partecipa al,-10
02/10/2020,TRUMP POSITIVO AL TEST Il presidente Donald trump e la first lady Melania risultati positivi al Covid 19. Negativi al test il vice presidente Pence e lo sfidante alla Casa Bianca Joe Biden.,0
02/10/2020,"OBBLIGO DI MASCHERINE, NUOVE ORDINANZE Il numero di nuovi casi positivi sfiora quota 2500. Con l’ordinanza dei governatori di Lazio e Basilicata scatta l’obbligo di mascherine all’aperto, misura che il Governo pensa di estendere a livello",-10
04/10/2020,"VERTICE A PALAZZO CHIGI Il presidente del Consiglio riunisce i capi delegazione di maggioranza per fare il punto sull’emergenza sanitaria. Le misure di contrasto saranno contenute nel nuovo Dpcm, Governo orientato",-10
05/10/2020,"SCUOLA, PRIMO BILANCIO È basso l’impatto che la ripartenza della scuola ha avuto sulla crescita dei contagi, meno di duemila casi. Il ministro dell’Istruzione Azzolina traccia un primo bilancio a poche settimane dalla ripresa.",10
06/10/2020,VERSO IL NUOVO DPCM Non abbassare la guardia sulla pandemia. Il premier Conte presenta i contenuti del decreto con le nuove misure anti Covid illustrato in aula dal ministro della Salute Speranza.,-10
06/10/2020,"MATTARELLA: RICHIAMO PER UNO SFORZO COMUNE In occasione di un convegno del Sole 24 Ore sul Made in Italy, richiamo del presidente Mattarella all'unità di istituzioni e società. Obiettivo comune sconfiggere la pandemia.",-10
07/10/2020,PROROGATO LO STATO DI EMERGENZA Il balzo dei nuovi contagi preoccupa le autorità: quasi quattromila i casi positivi registrati. Il Consiglio dei ministri proroga lo stato di emergenza fino al 31 gennaio. Subito effettivo l’obbligo di mascherine,-10
08/10/2020,"RECORD DI TAMPONI Record di tamponi effettuati, sale ancora la curva dei contagi in tutte le Regioni, preoccupa la Campania con maggior numero di positivi. Il ministro Speranza ripete: rispettare le misure.",-10
08/10/2020,"RECOVERY FUND, ACCORDO LONTANO Resta ancora distante l’accordo sul programma anti pandemia dell’Unione europea; tensione tra la presidenza tedesca e l’Europarlamento. In mancanza dell’approvazione del budget, il Parlamento",0
09/10/2020,"CAMPANIA, DE LUCA PREFIGURA IL LOCKDOWN In Campania non si ferma l'aumento dei contagi, situazione delicata negli ospedali. Il governatore De Luca preannuncia il lockdown in caso di una ulteriore impennata. Allo studio degli esperti nuove",-10
10/10/2020,"NO MASK IN PIAZZA, TENSIONE A ROMA Tensione nella capitale nel corso della manifestazione organizzata da parte dei “no mask”. Circa duemila persone scese in piazza contro l’obbligo della mascherina.",0
10/10/2020,"VERSO UN NUOVO DPCM A Palazzo Chigi riunione del premier Conte con i capi delegazione. Feste private e convivialità nodi centrali del vertice. Tra le misure di contenimento all’esame, il divieto di sosta davanti a bar e",-10
10/10/2020,LE CRITICHE DELLE OPPOSIZIONI Le strategie anti covid e le misure economiche restano al centro della scena politica. Il Movimento 5 Stelle rivendica le misure di sostegno all'economia. La Lega critica la proroga dello stato di,0
10/10/2020,"SPERANZA: MESI DI RESISTENZA Non si ferma la crescita dei contagi, quasi cinquemila. E’ record di tamponi effettuati mentre tra le regioni torna a preoccupare la Lombardia. Il ministro Speranza: ci attendono mesi di resistenza.",-10
11/10/2020,"ALLARME IN FRANCIA Si conferma il record di contagi in Francia, oltre centomila nuovi casi in una settimana. La seconda ondata, da nord a sud, mette in affanno il sistema sanitario: cresce il numero dei malati in terapia",-10
11/10/2020,GOVERNO ESCLUDE NUOVO LOCKDOWN Il Governo esclude l’introduzione di un nuovo lockdown e si prepara alla cabina di regia con le Regioni per il nuovo Dpcm. Il commissario Arcuri: presto test rapidi anche dai medici di base.,10
11/10/2020,MATTARELLA: TUTELA DEI LAVORATORI BENE PRIMARIO Dalla pandemia la spinta ad aumentare le misure a tutela dei lavoratori. È il messaggio lanciato dal presidente della Repubblica Mattarella nel corso della giornata per le vittime degli incidenti sul,0
12/10/2020,"LE PROIEZIONI DI BANKITALIA Nell’audizione sulla nota di aggiornamento al Def, Bankitalia analizza le ricadute della pandemia sul tessuto economico del Paese. Le prospettive restano incerte, avverte via Nazionale.",0
12/10/2020,"AUMENTANO I CONTAGI Mentre crescono i ricoveri in terapia intensiva e la Lombardia resta la regione con il maggior numero di casi, dalla riunione del Cts due novità: per essere dichiarato guarito servirà un solo tampone",-10
12/10/2020,APPROVATO IL DECRETO AGOSTO L’obiettivo è evitare un nuovo lockdown e misure che portino danni economici. Il Governo è al lavoro sul nuovo Dpcm insieme alle Regioni. In aula alla Camera approvato il voto di fiducia al decreto,-10
13/10/2020,"SCUOLA, NO A LEZIONI A DISTANZA Le lezioni continueranno in presenza. La scuola resta il punto fermo del Governo che intende evitare il ricorso alla didattica a distanza. Per alcune regioni la didattica on line utile a decongestionare il",10
14/10/2020,"IL RICHIAMO DI CONTE Obiettivo, evitare un nuovo lockdown. Alla vigilia del Consiglio europeo a Bruxelles, arriva l’appello del premier Conte preoccupato per la risalita dei contagi: serve collaborazione e rispetto delle",-10
14/10/2020,"BOOM CONTAGI, RICOVERI IN AUMENTO Continua a crescere la curva dei contagi e il numero dei ricoveri: 150mila tamponi e oltre settemila nuovi casi in un giorno, mille a Milano, 43 le vittime. Si affaccia l’ombra di un lockdown a fine anno.",-10
15/10/2020,"VERTICE EUROPEO Brexit, pandemia e lotta ai cambiamenti climatici al centro del Consiglio europeo, incontro cruciale per i Paesi del vecchio continente. I Governi cercano di accelerare l’iter per liberare gli aiuti.",0
15/10/2020,"COVID, ALLARME OSPEDALI Un positivo ogni diciotto test. I nuovi casi toccano quota ottomila mentre sale anche il numero dei decessi. In Campania scuole e università chiuse. Cresce il timore per le pressioni nelle strutture",-10
16/10/2020,"SUPERATI I DIECIMILA CASI Superata la soglia dei diecimila casi in 24 ore, in diminuzione il numero delle vittime ma in crescita i nuovi ricoveri. Il Pd chiede un vertice per evitare un nuovo lockdown, cresce il pressing per il ricorso",-10
16/10/2020,"GESTIONE EMERGENZA, OPPOSIZIONE CRITICA L’utilizzo delle risorse del Recovery fund e la prossima legge di bilancio sono al centro della scena politica con la gestione dell’emergenza Covid. Le forze d’opposizione chiedono al Governo di",0
17/10/2020,"IL RAPPORTO CARITAS Rapporto povertà 2020 della Caritas: con la pandemia aumentati i nuovi poveri. 450mila persone tra marzo e maggio si sono rivolti per la prima volta a uno sportello Caritas, in prevalenza donne.",0
17/10/2020,"CONFRONTO CON LE REGIONI Confronto con le Regioni su scuola, trasporti e le misure per contrastare la diffusione del coronavirus. Arcuri e il ministro Boccia sollecitano le Regioni. In Lombardia preoccupa la diffusione del virus.",-10
17/10/2020,"COVID E MES AL CENTRO DEL DIBATTITO Emergenza coronavirus, il Pd in pressing per interventi tempestivi. Di Maio invoca dialogo e responsabilità tra le istituzioni. I sindaci e Italia Viva spingono per la necessità Mes. Le opposizioni",0
18/10/2020,VERTICE GOVERNO – REGIONI Riunione tra Governo e Regioni per trovare l’intesa sulle nuove misure destinate a frenare l’incremento del numero dei contagi. Il ministro Speranza assicura quattro miliardi per assumere,-10
19/10/2020,"LA MANOVRA DEL GOVERNO Per far fronte all’emergenza pandemia, il Governo mette a punto una manovra da quasi quaranta miliardi. Tra i capitoli di spesa priorità alla sanità e per i settori più colpiti dall’emergenza.",-10
19/10/2020,"NUOVA STRETTA CONTRO IL COVID Da oggi in vigore le nuove misure per contenere i contagi da Coronavirus. Più poteri ai sindaci per disporre eventuali coprifuoco, possibilità di chiudere strade e piazze della movida. Conte: evitare il",-10
20/10/2020,"L’ORDINANZA DI DE LUCA Dopo la Lombardia anche la Campania adotta il coprifuoco, in vigore dalle 23:00 alle 05:00 del mattino. Tra le misure restrittive il divieto di spostamento tra province. Contestato il governatore De",-10
21/10/2020,INFORMATIVA DI CONTE Informativa del premier Conte in Senato sull'andamento della pandemia e sulle nuove misure adottate dal Governo per il contenimento dei contagi. Risposta affidata alla responsabilità dei,-10
21/10/2020,"AUMENTA LA PRESSIONE SUGLI OSPEDALI Cresce il numero dei contagi, oltre quindicimila, e dei decessi. Record di tamponi effettuati: le regioni più colpite Lombardia, Piemonte, Campania. Avanza il timore anche per la capitale.",-10
22/10/2020,"COVID, CONTE ALLA CAMERA Momento critico ma la situazione attuale non è la stessa di marzo. Il premier Conte riferisce alla Camera sull’emergenza Covid. Pronti nuovi interventi ove necessario, sottolinea il presidente del",-10
23/10/2020,"LOMBARDIA, SITUAZIONE CRITICA Parlando di situazione drammatica, il governatore lombardo Fontana raccomanda ai cittadini il rispetto delle regole. Sulle polemiche in merito al coprifuoco a Milano, assicura: con Salvini nessuna",-10
24/10/2020,"L’AUTUNNO CALDO DI NAPOLI Proteste, arresti a Napoli e giornate di tensione contro le misure restrittive annunciate dal governatore De Luca. Riunione del comitato per la sicurezza pubblica per fare il punto sugli scontri",0
24/10/2020,"NUOVE MISURE IN ARRIVO Riunione a Palazzo Chigi con i vertici di maggioranza e opposizione, il ministro della Salute convoca il Comitato tecnico scientifico. Sul tavolo le nuove misure del Dpcm: la curva dei contagi impone",-10
24/10/2020,"NON SI FERMA LA CURVA DEI CONTAGI Non si ferma il trend dei contagi da Coronavirus, quasi ventimila i nuovi casi positivi nelle ultime 24 ore, cresce il numero dei decessi e delle terapie intensive, oltre mille. Puglia e Lazio richiamano",-10
25/10/2020,"BALZO DEI CONTAGI Nuova impennata di contagi da coronavirus in Italia, oltre ventumila i casi registrati,128 decessi: ogni cento tamponi eseguiti si riscontrano 13 positivi. Aumentano i decessi e i ricoveri in molte regioni.",-10
25/10/2020,"LE RAGIONI DEL NUOVO DPCM Scongiurare un secondo lockdown generalizzato e preservare l’economia. Il premier Conte illustra i nuovi interventi del nuovo Dpcm, tra cui chiusura di cinema e teatri, e annuncia misure di ristoro per",-10
26/10/2020,"I NUMERI DEL CONTAGIO Coronavirus, aumentano i ricoveri e terapie intensive, 140 le vittime. La Lombardia, con 3500 casi, rimane la regione più colpita seguita da Toscana, Campania, Lazio e Piemonte.",-10
26/10/2020,"L’APPELLO DI MATTARELLA Il presidente della Repubblica Mattarella incontra al Quirinale i rappresentanti del mondo della scienza e della ricerca, protagonisti della lotta al Covid 19. Mettere da parte egoismi personali, è il",-10
26/10/2020,"L’OPPOSIZIONE BOCCIA IL NUOVO DECRETO Il centrodestra all’attacco dell’ultimo Dpcm. La Lega boccia le nuove misure proponendo alternative per l’emergenza: test e tamponi più accessibili, cure domiciliari, un comitato scientifico",0
27/10/2020,"DPCM, TENSIONI IN PIAZZA Malumori e tensioni dopo le misure varate con il nuovo Dpcm, manifestazioni e scontri si registrano in diverse piazze italiane, da Milano a Torino a Palermo. Le categorie maggiormente colpite",0
27/10/2020,"VARATO IL DECRETO RISTORI Il Governo vara il decreto Ristori: stanziati oltre cinque miliardi per risarcire quelle attività come bar, ristoranti, piscine e palestre penalizzate dall’ultimo Dpcm e costrette a ridurre gli orari. I contributi",-10
29/10/2020,"INFORMATIVA AL PARLAMENTO Nessuno Stato si salva da solo. Nel corso dei suoi interventi in Parlamento, il presidente del Consiglio Conte riferisce sulle ultime decisioni in merito alla pandemia, vagliate dal Cts. Il premier invoca",-10
29/10/2020,"NIZZA, ATTACCHI ALL’OPERATO DI LAMORGESE Dopo l'informativa del premier Conte, tutto il centrodestra attacca l’esecutivo sulla gestione della pandemia. Salvini e Meloni criticano l’operato del ministro dell'Interno Lamorgese in merito",0
30/10/2020,"UNDICI REGIONI A RISCHIO ELEVATO Tutte le regioni presentano criticità ma undici sono quelle a rischio elevato, in uno scenario di tipo 4, il più grave della pandemia. A fotografare la situazione critica è la cabina di regia dell’ISS, con",-10
31/10/2020,"CONTAGI IN AUMENTO Oltre trentunomila contagi, quasi trecento vittime: cresce ancora la curva dei contagi in un giorno. Non accadeva da maggio. Lombardia e Campania si confermano regioni più colpite.",-10
31/10/2020,"PACCHETTO AIUTI AL MONDO DEL LAVORO Blocco dei licenziamenti fino a marzo e cassa integrazione Covid senza contributi aggiuntivi per le aziende, i principali punti per l’intesa raggiunta tra Governo e parti sociali.",0
01/11/2020,RICHIAMO DI MATTARELLA Il presidente della Repubblica Mattarella invoca l’impegno di tutte le forze politiche nella lotta al Coronavirus e chiama i vertici della Conferenza delle Regioni chiedendo loro collaborazione e,-10
01/11/2020,SALA: NO AL LOCKDOWN In Lombardia confronto tra il governatore Fontana e gli amministratori locali; il sindaco Sala ribadisce il no unanime al lockdown totale. Il Cts studia zone rosse provinciali e misure speciali per il,0
02/11/2020,"L’ALTO ADIGE SCEGLIE IL LOCKDOWN In considerazione dell’alto numero dei contagi l'Alto Adige sceglie un nuovo lockdown. Previsto il coprifuoco dalle ore 20:00 alle ore 5:00 del mattino oltre a chiusura di bar, ristoranti, pasticcerie e",-10
03/11/2020,GLI ATTACCHI DELL’OPPOSIZIONE Prosegue il confronto tra maggioranza e opposizione sulle nuove misure anti Covid per la gestione della seconda ondata pandemica. Per il leader della Lega Matteo Salvini il Governo naviga a,0
03/11/2020,"NUOVO DPCM, STRETTA FINALE In attesa dell’esito del confronto tra Governo e Regioni, per il presidente del Consiglio Giuseppe Conte giornata di riunioni e di aggiornamento con gli esperti del Cts. Il premier difende il principio",-10
04/11/2020,"RICOVERI IN AUMENTO Numero record di tamponi effettuati, oltre trentamila nuovi casi e 350 decessi: i numeri del contagio in crescita ma in linea con la settimana precedente. Ricoveri in aumento.",-10
04/11/2020,"IL NUOVO DPCM Firmato il nuovo Dpcm con le misure in vigore fino al 3 dicembre. Coprifuoco nazionale dalle 22:00 alle 5:00, limite di capienza per i trasporti, musei chiusi. Regioni soggette a limitazioni in base ai livelli",-10
05/11/2020,"ZONE ROSSE, CRITICHE DAI GOVERNATORI Il premier Conte presenta le regole del nuovo Dpcm: Lombardia, Piemonte e Calabria in zona rossa. Critiche dai governatori delle regioni dove le misure sono le stesse della scorsa primavera.",-10
06/11/2020,"CAMPANIA, CONTAGI BOOM Duro confronto tra amministratori locali in Campania dove continua a registrarsi un alto numero di contagi. Il presidente De Luca invita i campani a comportarsi come se fossero in lockdown.",-10
06/11/2020,"IL PD RILANCIA LA MAGGIORANZA Uniti contro il virus, rilancia Zingaretti dal Pd. La maggioranza difende l'azione di Governo decisa a ricompattarsi fino a fine legislatura. Il centrodestra resta critico: scelte incomprensibili.",0
06/11/2020,"CONTE: IL VIRUS UN TRENO CHE CORRE 'Sulla tutela della salute non si tratta, il virus un treno che corre'. Il premier Conte ribadisce la linea di differenziazione territoriale predisposta nel nuovo Dpcm e annuncia il decreto Ristori bis.",-10
08/11/2020,ALTO ADIGE ZONA ROSSA Quasi ottocento positivi su tremila tamponi. Dopo il record di contagi l’Alto Adige diventa zona rossa: via all’ordinanza che stabilisce il lockdown in tutta la provincia autonoma.,-10
09/11/2020,"AUMENTANO I RICOVERI Abruzzo, Umbria, Basilicata, Liguria e Toscana in zona arancione. Per i virologi la situazione è in peggioramento, aumentano i ricoveri in terapia intensiva. Scatta l’allarme a Monza.",-10
09/11/2020,"VACCINO, PFIZER ANNUNCIA FASE FINALE Il vaccino anti Covid della americana Pfizer e della tedesca BionTech ha un’efficacia del 90%. Le due società chiederanno all’FDA di avviare la produzione già alla fine del mese.",0
11/11/2020,INCHIESTA IN SARDEGNA Inchiesta della procura di Cagliari per epidemia colposa sull'apertura estiva delle discoteche decisa dalla Regione: un parere del Cts del 6 agosto avrebbe sconsigliato la riapertura.,-10
11/11/2020,SALVINI: TUTELARE AZIENDE ITALIANE Il centrodestra chiede di collaborare nelle decisioni economiche contro la pandemia. Il leader della Lega Salvini attacca l'emendamento contro la scalata di compagnie straniere aziende,0
11/11/2020,SUPERATO IL MILIONE DI CASI In Italia è stato superato il milione di casi accertati dall'inizio della pandemia. Il Governo al lavoro per evitare un nuovo lockdown: vertice a Palazzo Chigi. Conte: positivo il bilancio dell’ultimo,-10
12/11/2020,"INCONTRO STATO – REGIONI Nuovo incontro tra Stato e Regioni sulle misure anti Covid. Covid hotel in ogni provincia per alleggerire la pressione negli ospedali. In Friuli, Veneto e Emilia Romagna via libera a nuove",-10
12/11/2020,VIA LIBERA AL DECRETO COVID Via libera del Senato al decreto Covid: tra le misure principali il rinvio delle elezioni amministrative e delle cartelle esattoriali oltre alla proroga dello stato di emergenza. Approvata l’istituzione di una,-10
13/11/2020,"PALAZZO CHIGI DIFENDE LE SCELTE ANTI COVID Il premier Conte difende il meccanismo della chiusura a zone e, intervenendo a un evento Cgil, esclude lockdown generali ma richiama la popolazione all'attenzione delle misure anche durante",-10
15/11/2020,"CAMPANIA E TOSCANA ZONA ROSSA Campania e Toscana da oggi si aggiungono ai territori in zona rossa, contagi in aumento. Molti esercizi preferiscono restare chiusi, prima domenica di lockdown a Firenze. Strade e vie deserte a",-10
17/11/2020,L’APPELLO DI MATTARELLA Sconfiggere la pandemia: il presidente della Repubblica Mattarella lancia un nuovo appello all’unità sottolineando l’importanza della leale collaborazione tra istituzioni e forze politiche.,0
18/11/2020,CONTE DIFENDE LA STRATEGIA ANTI COVID Fare squadra. Nella lotta al Covid il premier Giuseppe Conte richiama al senso di responsabilità collettivo e annuncia ulteriori nuovi interventi a favore dell’economia.,0
19/11/2020,GOVERNO STUDIA NUOVE MISURE PER NATALE In previsione del Natale il Governo valuta diverse ipotesi di allentamento delle misure restrittive in base all’andamento dell’epidemia. Tra le ipotesi in esame prolungare l’orario dei negozi.,10
20/11/2020,"RALLENTANO I CONTAGI Si dimostra stabile il rallentamento dei contagi, trentasettemila casi, ma con 700 decessi è ancora altissimo il numero delle vittime. L’ISS conferma che le restrizioni decretano la discesa dell’indice di",10
21/11/2020,"LA PROPOSTA DELLA LEGA Gestione della pandemia e misure economiche animano la scena politica. Se Forza Italia apre ad un dialogo con l'esecutivo, Salvini rilancia l'idea di una federazione per portare al Governo",0
21/11/2020,"G20, APPELLO DI CONTE Dal G20 in Arabia Saudita, che si apre in forma virtuale, il premier Conte lancia un appello all’unità per sconfiggere la pandemia. Terapie e vaccini diritto di tutti, dice il presidente del Consiglio.",0
